TITLE,BRAND,MODEL,RAM(GB),ROM(GB),DISPLAY_SIZE(inch),CONNECTIVITY_TYPE,REAR_CAMERA(MP),FRONT_CAMERA(MP),BATTERY(mAh),VERSION,WARRENTY,RATINGS,REVIEWS_COUNT,ORIGINAL_PRICE(INR),FINAL_PRICE(INR),DISCOUNT_PERCENT,EXCHANGE_DISCOUNT_PRICE(INR)
redmi  pad se 8 gb ram 128 gb rom 11.0 inch with wi-fi only tablet (lavender purple),redmi,pad se,8,128,11.0,wi-fi only,8.0,5.0,8000,android,1,4.4,989,19999,12999,35,9800
oneplus pad lite 6 gb ram 128 gb rom 11.0 inch with wi-fi only tablet (aero blue),oneplus,pad lite,6,128,11.0,wi-fi only,5.0,5.0,9340,others,1,4.4,111,19999,14999,25,11200
redmi pad 2 6 gb ram 128 gb rom 11.0 inch with wi-fi+4g gaming tablet (graphite grey),redmi,pad 2,6,128,11.0,wi-fi+sim,12.0,5.0,9000,android,1,4.3,157,19999,15999,20,12100
redmi  pad se 8 gb ram 128 gb rom 11.0 inch with wi-fi only tablet (graphite gray),redmi,pad se,8,128,11.0,wi-fi only,8.0,5.0,8000,android,1,4.4,989,19999,12999,35,9800
samsung galaxy tab s9 fe+ 8 gb ram 128 gb rom 12.4 inch with wi-fi only tablet (gray),samsung,galaxy tab s9 fe+,8,128,12.4,wi-fi only,8.0,12.0,10090,android,1,4.6,1047,59999,29375,51,0
realme pad 2 6 gb ram 128 gb rom 11.5 inch with 4g tablet (imagination grey),realme,pad 2,6,128,11.5,wi-fi+sim,8.0,5.0,8360,android,1,4.4,2767,28999,14799,48,11200
redmi  pad se 4 gb ram 128 gb rom 11.0 inch with wi-fi only tablet (mint green),redmi,pad se,4,128,11.0,wi-fi only,8.0,5.0,8000,android,1,4.4,989,14999,11999,20,9000
realme pad 2 6 gb ram 128 gb rom 11.5 inch with 4g tablet (inspiration green),realme,pad 2,6,128,11.5,wi-fi+sim,8.0,5.0,8360,android,1,4.4,2767,28999,14799,48,11200
samsung galaxy tab a9+ 8 gb ram 128 gb rom 11.0 inch with wi-fi+5g tablet (graphite),samsung,galaxy tab a9+,8,128,11.0,wi-fi+sim,8.0,5.0,7040,android,1,4.5,1464,32999,24999,24,18300
oppo pad se 6 gb ram 128 gb rom 10.95 inch with wi-fi+4g gaming tablet (twilight blue),oppo,pad se,6,128,10.95,wi-fi+sim,5.0,5.0,9340,android,1,4.4,151,20999,15999,23,12100
oneplus pad go 8 gb ram 128 gb rom 11.35 inch with wi-fi only tablet (twin mint),oneplus,pad go,8,128,11.35,wi-fi only,8.0,8.0,8000,android,1,4.5,1453,19999,16999,15,12850
redmi  pad pro 5g 8 gb ram 128 gb rom 12.1 inch with wi-fi+5g tablet (graphite grey),redmi,pad pro 5g,8,128,12.1,wi-fi+sim,8.0,8.0,10000,android,1,4.4,425,26999,23999,11,18300
redmi  pad pro 6 gb ram 128 gb rom 12.1 inch with wi-fi only tablet (graphite grey),redmi,pad pro,6,128,12.1,wi-fi only,8.0,8.0,10000,android,1,4.4,104,24999,20999,16,15500
samsung galaxy tab s9 fe 6 gb ram 128 gb rom 10.9 inch with wi-fi only tablet (gray),samsung,galaxy tab s9 fe,6,128,10.9,wi-fi only,8.0,12.0,10090,android,1,4.5,226,44999,26499,41,20000
redmi  pad se 6 gb ram 128 gb rom 11.0 inch with wi-fi only tablet (mint green),redmi,pad se,6,128,11.0,wi-fi only,8.0,5.0,8000,android,1,4.4,989,16999,12999,23,9800
apple 2025 ipad (a16) 128 gb rom 11.0 inch with wi-fi only (blue),apple,unknown,4,128,11.0,wi-fi only,12.0,12.0,7100,ipados,1,4.7,573,34900,32400,7,24700
